ID,Status,Number_of_port,location,Lat,Lon,Address
96,A,4,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.4806365,-111.9805171,18.75z/data=!4m13!1m7!3m6!1s0x8752838af669bbcf:0x332ae1e30ef798d8!2s14788+Academy+Pkwy,+Riverton,+UT+84065!3b1!8m2!3d40.4822142!4d-111.9787261!3m4!1s0x8752838bc6a0cddf:0xe5d4f23da1f74971!8m2!3d40.480157!4d-111.9809322",40.480157,-111.9809322,"14939 S Tumble Rock Way, Herriman, UT 84096"
97,A,8,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.4809374,-111.9807946,18.75z/data=!4m13!1m7!3m6!1s0x8752838af669bbcf:0x332ae1e30ef798d8!2s14788+Academy+Pkwy,+Riverton,+UT+84065!3b1!8m2!3d40.4822142!4d-111.9787261!3m4!1s0x8752838a32f5a5a9:0xa233a2429a12e65d!8m2!3d40.4810991!4d-111.9812058",40.4810991,-111.9812058,"14917 S Tumble Rock Way, Herriman, UT 84096"
98,A,13,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.4809374,-111.9807946,18.75z/data=!4m13!1m7!3m6!1s0x8752838af669bbcf:0x332ae1e30ef798d8!2s14788+Academy+Pkwy,+Riverton,+UT+84065!3b1!8m2!3d40.4822142!4d-111.9787261!3m4!1s0x8752838a4a7df3d9:0x8a19be2ac0c3644a!8m2!3d40.4812398!4d-111.9805399",40.4812398,-111.9805399,"14788 Academy Pkwy, Riverton, UT 84065"
99,A,3,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.4809374,-111.9807946,18.75z/data=!4m13!1m7!3m6!1s0x8752838af669bbcf:0x332ae1e30ef798d8!2s14788+Academy+Pkwy,+Riverton,+UT+84065!3b1!8m2!3d40.4822142!4d-111.9787261!3m4!1s0x8752838a398b5d91:0xcf72741bc4656da9!8m2!3d40.4816978!4d-111.9809188",40.4816978,-111.9809188,"14788 Academy Pkwy, Riverton, UT 84065"
100,A,8,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.4809584,-111.9781455,18.25z/data=!4m13!1m7!3m6!1s0x8752838af669bbcf:0x332ae1e30ef798d8!2s14788+Academy+Pkwy,+Riverton,+UT+84065!3b1!8m2!3d40.4822142!4d-111.9787261!3m4!1s0x8752838b3a12563f:0xad665886d854ec6f!8m2!3d40.480969!4d-111.9768982",40.480969,-111.9768982,"14836 Beckenbauer Ave, Herriman, UT 84096"
101,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.4809584,-111.9781455,18.25z/data=!4m13!1m7!3m6!1s0x8752838af669bbcf:0x332ae1e30ef798d8!2s14788+Academy+Pkwy,+Riverton,+UT+84065!3b1!8m2!3d40.4822142!4d-111.9787261!3m4!1s0x875283f4acc3f8c3:0x11fe1a3b146e0b23!8m2!3d40.4799601!4d-111.9760258",40.4799601,-111.9760258,"14936 Beckenbauer Ave, Herriman, UT 84096"
102,A,6,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.5824292,-111.9169419,19z/data=!4m5!3m4!1s0x8752889ab4fee575:0x2c26359402de9f76!8m2!3d40.582443!4d-111.9166497",40.582443,-111.9166497,"9300 S Riverside Dr, Sandy, UT 84070"
103,A,4,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.5909557,-111.9090011,17.5z/data=!4m5!3m4!1s0x8752888b9b0646e5:0x134e34dd05a8eebb!8m2!3d40.5917359!4d-111.9096002",40.5917359,-111.9096002,"8775 700 W, Sandy, UT 84070"
104,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.5741968,-111.9010049,19.75z/data=!4m12!1m6!3m5!1s0x875287d50118fa61:0xfe1b867db39b6060!2sSalt+Lake+Community+College+Miller+Campus!8m2!3d40.5751287!4d-111.901856!3m4!1s0x875287d455b3a125:0xfc7964511bfa59c2!8m2!3d40.5742056!4d-111.9013993",40.5742056,-111.9013993,"9750 S 300 W, Sandy, UT 84070"
105,A,18,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.5702487,-111.8963936,19.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0xdef8a675999b75eb!8m2!3d40.570663!4d-111.8963201",40.570663,-111.8963201,"210 Sego Lily Dr, Sandy, UT 84070"
106,A,10,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.5727427,-111.8946318,17.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x306ed5b25fee25ab!8m2!3d40.5747318!4d-111.8925574",40.5747318,-111.8925574,"75 W Towne Ridge Pkwy, Sandy, UT 84070"
107,A,8,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.5807964,-111.8926556,17.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x8752887999800013:0x277d55212a18ea53!8m2!3d40.5820279!4d-111.8950519",40.5820279,-111.8950519,"9256 S, State St, Sandy, UT 84070"
108,A,4,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.5807964,-111.8926556,17.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0xe7c086eb0958454f!8m2!3d40.5818441!4d-111.8928391",40.5818441,-111.8928391,"9256 S, State St, Sandy, UT 84070"
109,A,6,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.5870014,-111.8853136,15.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x9cf1f902f1feef90!8m2!3d40.5935232!4d-111.8791866",40.5935232,-111.8791866,"440 E 8680 S, Sandy, UT 84070"
110,A,10,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.580901,-111.8541063,17.75z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x37e70f290d1d7c84!8m2!3d40.5813201!4d-111.8542998",40.5813201,-111.8542998,"1245 E 9400 S, Sandy, UT 84094"
111,U,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.5804795,-111.8543296,17.75z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0xca5787b9a5e5935b!8m2!3d40.5795442!4d-111.855327",40.5795442,-111.855327,"9499 S 1210 E, Sandy, UT 84094"
112,A,6,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.575868,-111.837036,15.5z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x3b2b282904ae930a!8m2!3d40.5779343!4d-111.8342355",40.5779343,-111.8342355,"9565 Highland Dr, Sandy, UT 84092"
